objeto;data_evento;evento;cliente;trecho;evento_trecho;unid_origem;unid_destino;dr_origem;dr_destino;gestao_prealerta;automatico;manual;total;macroprocesso;postado;ultimo_evento_extraviado;ultimo_evento_em_transito;ultimo_evento;ultimo_evento_data;evento_finalizador;tipo;analise_sro;unid_origem_apelido;unid_destino_apelido;trecho_real;se_postagem;unidade_postagem;data_postagem;familia;ultimo_evento_sinistro
DM196475856BR;2020-12-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;COOPERATIVA R DE C GUAXUPE LTDA COOXUPE;CTCE BELO HORIZONTE (MG) - CEE BRASILIA NORTE;Objeto expedido;CTCE BELO HORIZONTE;CEE BRASILIA NORTE;MG;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-14;nao;transito;Pendente (OTU);CTCE BELO HORIZONTE;CEE BRASILIA NORTE;Trecho;MG;AGF JOAO MACHADO;2020-12-07;SEDEX;sim
DM196856007BR;2021-01-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-04;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-23;SEDEX;sim
DM196868022BR;2021-01-05;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-05;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-28;SEDEX;sim
DM196868138BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-29;SEDEX;sim
DM196868447BR;2021-01-12;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-12;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DM196868946BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;LUXOTTICA BRASIL PROD OTICOS ESPORT LTDA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2021-01-07;SEDEX;sim
DM196868950BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2021-01-07;SEDEX;sim
DM196871772BR;2021-01-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-04;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-23;SEDEX;sim
DM196871790BR;2021-01-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;TRIBUNAL DE CONTAS DA UNIAO;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-04;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-23;SEDEX;sim
DM196871874BR;2021-01-05;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-05;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-28;SEDEX;sim
DM196871945BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DM196871959BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DM196872101BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2021-01-05;SEDEX;sim
DM196872115BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2021-01-05;SEDEX;sim
DM196872322BR;2021-01-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-14;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2021-01-08;SEDEX;sim
DM196875346BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-29;SEDEX;sim
DM196875434BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-29;SEDEX;sim
DM196875496BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DM196876267BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-29;SEDEX;sim
DM196876307BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DM196876315BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
