DR;CD_ORGAO;ORGAO;AG_POSTAGEM;DT_POSTAGEM;ETIQUETA;SERVICO;VLR_MEDIDA;CD_GRUPO_PAIS_DESTINO;CEP_DESTINO;VLR_COBRADO_DESTINATARIO;VLR_DECLARADO;COD_ADM;PRODUTO;QTDE_PRESTADA;VLR_SERVICO;VLR_DESCONTO;ACRESCIMO;VLR_FINAL;CARTAO;DOCUMENTO;SERVIÇO_ADICIONAL;NOME_SERVICO;CONTRATO;ATENDIMENTO;DT_MOV
GO;16300793;AC RUBIATABA;16300793;27/04/2020;PM589379492BR;4510;9,507;0;38413210;0;0;0;0;1;100,8;0;0;100,8;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279993BR;12483;0,043;0;74510040;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279980BR;12483;0,025;0;38445244;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;PM589379489BR;4677;1,484;0;13306123;0;21;11169800;0;1;49,09;0;0;49,09;00071109641;370260369      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279976BR;12483;0,025;0;55920000;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819017438BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279962BR;12483;0,19;0;06036048;0;0;0;0;1;12;0;0;12;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279928BR;10065;0,025;0;76350000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;370246925      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279931BR;10065;0,025;0;76360000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;370246925      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279945BR;10065;0,025;0;76360000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;370246925      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279959BR;10065;0,025;0;76350000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;370246925      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;             ;10014;0,02;0;76350000;0;0;0;0;1;0;0;0;0;00000000000;               ;  -  -  -  -  ;CARTA SIMPLES A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819017424BR;34240;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - REGULARIZAÇÃO;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;OD786909687BR;4014;0,33;0;76155000;0;0;0;0;1;27,7;0;0;27,7;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544279914BR;10065;0,035;0;74775013;0;0;17041821;0;1;15,55;0;0;15,55;00072987952;370204008      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912409959     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;PM589379475BR;4677;0,25;0;04281110;0;21;11169800;0;1;42,88;0;0;42,88;00071109641;370202710      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;OD786909673BR;4162;0,108;0;74050100;0;0;10200894;0;1;20,25;0;0;20,25;00061519472;370201188      ;  -  -  -  -  ;SEDEX CONTRATO AGENCIA;9912258441     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;OD786909660BR;4014;0,035;0;15505160;0;0;0;0;1;85,5;0;0;85,5;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819015817BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819015803BR;34240;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - REGULARIZAÇÃO;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;             ;34053;0;0;00000000;0;0;0;0;1;134,7;0;0;134,7;00000000000;               ;  -  -  -  -  ;CAIXA POSTAL ASSIN ANUAL;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909656BR;4014;0,609;0;66063018;0;0;0;0;1;104,2;0;0;104,2;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909642BR;4170;0,404;0;01307002;0;0;18057624;0;1;71,1;0;0;71,1;00073917001;370102161      ;  -  -  -  -  ;SEDEX REVERSO ESPELHO 04162;9912436266     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;235858;16/04/2020;SC477781600BR;4561;9,17;0;00000000;300;25;0;0;1;0;0;0;0;00000000000;18573208-1     ;  -  -  -  -  ;SEDEX CONT AG PAG ENT TA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;16/04/2020;SC477781600BR;41505;9,17;0;00000000;300;25;0;0;1;300;0;0;300;00000000000;18573208-1     ;  -  -  -  -  ;VPNE-ENCOMENDA-COMERCI-EMISSAO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;235858;16/04/2020;SC477781595BR;4561;4,546;0;00000000;225;25;0;0;1;0;0;0;0;00000000000;18573168-6     ;  -  -  -  -  ;SEDEX CONT AG PAG ENT TA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;16/04/2020;SC477781595BR;41505;4,546;0;00000000;225;25;0;0;1;225;0;0;225;00000000000;18573168-6     ;  -  -  -  -  ;VPNE-ENCOMENDA-COMERCI-EMISSAO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909639BR;4170;0,468;0;17525903;0;0;10078703;0;1;67,01;0;0;67,01;00062772694;370097030      ;87-  -  -  -  ;SEDEX REVERSO ESPELHO 04162;9912252396     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909625BR;4170;0,486;0;17525903;0;0;10078703;0;1;67,01;0;0;67,01;00062772694;370094699      ;87-  -  -  -  ;SEDEX REVERSO ESPELHO 04162;9912252396     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279905BR;12483;0,035;0;74830090;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909611BR;4014;0,628;0;38140000;0;0;0;0;1;75;0;0;75;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015794BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015785BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;PW770762652BR;4669;0,602;0;21852414;0;0;11169800;0;1;44,45;0;0;44,45;00067059090;175984         ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;PW805980385BR;4669;0,257;0;13700000;0;0;11169800;0;1;42,87;0;0;42,87;00067059090;3687670        ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279891BR;12483;0,025;0;35590000;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279826BR;12483;0,025;0;77475000;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;             ;34479;0,05;0;00000000;0;0;11205709;0;1;24,78;0;0;24,78;00062267655;370035058      ;  -  -  -  -  ;SEGURO DPVAT ATE 300 G;9912280636     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;OD786909608BR;12165;0,05;0;20011904;0;0;11205709;0;1;30,43;0;0;30,43;00062267655;370035058      ;  -  -  -  -  ;POSTAL RESPOSTA DPVAT;9912280636     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015777BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015763BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;PM589379461BR;4510;0,34;0;30865040;0;0;0;0;1;35,4;0;0;35,4;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;PM589379458BR;4677;0,73;0;37640000;0;0;13415611;0;1;44,45;0;0;44,45;00072641398;370020056      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912336113     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015750BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279888BR;12483;0,02;0;76350000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279874BR;12483;0,02;0;76350000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279865BR;12483;0,02;0;76350000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279857BR;12483;0,02;0;76350000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;JU544279843BR;12483;0,02;0;76350000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;PM589379444BR;4677;0,28;0;06278908;0;50;12515221;0;1;43,17;0;0;43,17;00072150890;370012789      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912314435     ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;24/04/2020;IF819015746BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;24/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279812BR;12483;0,025;0;76350000;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;             ;10014;0,025;0;74911380;0;0;0;0;1;0;0;0;0;00000000000;               ;  -  -  -  -  ;CARTA SIMPLES A VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279830BR;12483;0,14;0;35300273;0;0;0;0;1;11,15;0;0;11,15;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;PM589379435BR;4677;1,147;0;14401342;0;21;11169800;0;1;49,09;0;0;49,09;00071109641;369919898      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;PM589379427BR;4510;0,3;0;09911630;0;0;0;0;1;58,1;0;0;58,1;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;OD786909599BR;4014;0,26;0;01013001;0;0;0;0;1;91,85;0;0;91,85;00000000000;               ;39-  -  -  -  ;SEDEX A VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;OD786909585BR;4014;0,26;0;01013001;0;0;0;0;1;91,85;0;0;91,85;00000000000;               ;39-  -  -  -  ;SEDEX A VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;IF819015732BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279790BR;10065;0,025;0;76410000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;369900485      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279809BR;10065;0,025;0;76410000;0;0;14281074;0;1;15,55;0;0;15,55;00069559368;369900485      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;PM589379413BR;4677;0,26;0;13213909;0;0;11015292;0;1;42,87;0;0;42,87;00064820122;369896244      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912271175     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;IF819015729BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279786BR;12483;0,04;0;86703070;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;IF819015715BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279772BR;12483;0,025;0;13482140;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279769BR;12483;0,025;0;74130011;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;OD786909571BR;4170;0,3;0;17525903;0;0;10078703;0;1;65,14;0;0;65,14;00062772694;369857004      ;87-  -  -  -  ;SEDEX REVERSO ESPELHO 04162;9912252396     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;PM589379400BR;4677;0,716;0;37640902;0;0;11328401;0;1;44,45;0;0;44,45;00062758870;369856085      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912286743     ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;JU544279755BR;12483;0,035;0;76381098;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;23/04/2020;OD786909568BR;4014;0,064;0;74354832;0;0;0;0;1;25,8;0;0;25,8;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;23/04/2020
GO;16300793;AC RUBIATABA;16300793;22/04/2020;PW755845213BR;4669;1,708;0;12703000;0;0;11169800;0;1;49,08;0;0;49,08;00067059090;7611635        ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83276858   ;22/04/2020
